Nro;Coordinación Zonal;Provincia;Cantón;Agencia / Punto de Atención;Dirección Completa;LATITUD;LONGITUD;Enlace Google Maps;Responsable de la Agencia;Teléfono de Contacto;Observaciones
15;ZONA 6;CAÑAR;CAÑAR;CAÑAR;CDLA. ANGEL MARÍA IGLESIAS, CALLE 2 DE NOVIEMBRE, DETRAS DEL CEMENTERIO MUNICIPAL;-2.557304305;-78.94145874;https://maps.app.goo.gl/gca6PhYSPyNxnQfa8;Maria Fernanda Izquierdo Serrano;3701190. Ext. 03408;NINGUNA
16;ZONA 6;CAÑAR;LA TRONCAL;LA TRONCAL;EL ARTESANO Y ALFONSO ANDRADE;-2.445612703;-79.32012965;https://maps.app.goo.gl/a3LpwipDPFWBGBUMA;Sandra Mariuxi Jaya Jaya;3701190. Ext. 03401;NINGUNA
17;ZONA 6;CAÑAR;SUSCAL;SUSCAL;DARIO MACHUCA Y MANUEL MARTINEZ;-2.438579297;-79.05245894;https://maps.app.goo.gl/Q7F6swsg4pxZLgfF7;Italo Martin Almache Tello;3701190. Ext. 03403;NINGUNA
18;ZONA 6;MORONA SANTIAGO;GUALAQUIZA;GUALAQUIZA;ENTRE ATAHUALPA Y LUIS CASIRAGUI MARGINAL AL RIO GUALAQUIZA;-3.404470218;-78.5770428;https://maps.app.goo.gl/9JDemBnz91dWkqx2A;Abg. Silvio Arévalo;3701190. Ext. 24450;NINGUNA
19;ZONA 6;MORONA SANTIAGO;HUAMBOYA;HUAMBOYA;CALLE 16 DE OCTUBRE Y TRES FUNDADORES;-1.941871;-77.990498;https://maps.app.goo.gl/Kucg3NruupsPmRY78;Sr. Alex Juanga;980846593;NINGUNA
20;ZONA 6;MORONA SANTIAGO;LIMÓN INDANZA;GENERAL LEONIDAS PLAZA GUTIÉRREZ;CALLE 12 DE DICIEMBRE Y JORGE ENRIQUEZ;-2.96899;-78.43533;https://maps.app.goo.gl/yj1DrFYs5E6ygubG6;Ing. Nancy Chacón;3701190. Ext. 24440;NINGUNA
21;ZONA 6;MORONA SANTIAGO;SANTIAGO;SANTIAGO DE MÉNDEZ;CAMILO PONCE ENRIQUEZ,ENTRE SIMÓN BOLÍVAR Y EUGENIO ESPEJO;-2.717703581;-78.31968689;https://maps.app.goo.gl/pizcR4h8YrqJcPTu8;Ing. Aldo Orellana;3701190. Ext. 24431;NINGUNA
22;ZONA 6;MORONA SANTIAGO;SUCÚA;SUCÚA;AV. CARLOS JULIO AROSEMENA Y ABELARDO DELGADO;-2.450065613;-78.17086184;https://maps.app.goo.gl/GttLNJxp3fXVSFXq7;Ing. Diana Arévalo;3701190. Ext. 24420;NINGUNA
23;ZONA 6;MORONA SANTIAGO;TAISHA;TAISHA;CALLE CHURUWIA Y SHAKAIM;-2.384105963;-77.50677941;https://maps.app.goo.gl/fGtaupRB15rCQV7g7;Sra. Mayra Shiki;3701190. Ext. 24412;NINGUNA
24;ZONA 6;MORONA SANTIAGO;PALORA;PALORA;MORONA SANTIAGO E IBARRA;-1.699329492;-77.96953632;https://maps.app.goo.gl/n5UZKEAnod3rvdMt7;Ing. Micaela Sarmiento;3701190. Ext.24400;NINGUNA
25;ZONA 6;MORONA SANTIAGO;MACAS;MACAS;LEONARDO RIVADENEIRA Y EDUARDO BURBANO;-2.291536553;-78.12098212;https://maps.app.goo.gl/sdhs3FkWiEdT4dZk8;Abg. Miguel Ángel Rivadeneira;3701190. Ext. 24001;NINGUNA
26;ZONA 6;MORONA SANTIAGO;TIWINTZA;TIWINTZA;AV. SALGUERO FRENTE AL PARQUE;-3.04889;-78.00714;https://maps.app.goo.gl/YJeFSxdM5KizPaGS6;Srta. Tatiana Jiménez;3701190. Ext. 24460;NINGUNA
27;ZONA 6;MORONA SANTIAGO;SAN JUAN BOSCO;SAN JUAN BOSCO;AV 30 DE JUNIO Y OCTAVIO PELAEZ;-3.116255;-78.529078;https://maps.app.goo.gl/2MnprwEXs5KifSEE6;Srta. Maricela Peláez;994412060;NINGUNA
